0: bird_left_right_arrow
1: bird_left_right_card
2: bird_left_right_diamond_big
3: bird_left_right_diamond_multi
4: bird_left_right_figure
5: bird_left_right_wide
6: bird_top_bot_diamond
7: butterfly_dragonfly_card
8: butterfly_dragonfly_symbol
9: butterfly_dragonfly_wide
10: chicken_rat_square
11: chicken_rat_symbol
12: composite_asymtric
13: composite_card
14: composite_figure
15: composite_wide
16: crab_diamond
17: crab_symbol
18: deer_ox_asymetric
19: deer_ox_symetric_deer
20: deer_ox_symetric_ox
21: dog_cat_symbol
22: dog_cat_wide
23: dragon
24: fish_arrow
25: fish_diamond
26: fish_double
27: fish_symetric_fish
28: fish_top_bot
29: frog_1
30: frog_2
31: frog_3
32: frog_card
33: frog_elaborate_figure
34: frog_meifu_1
35: frog_meifu_diamond
36: frog_meifu_wide
37: frog_pose_human_3
38: frog_pose_human_7
39: frog_pose_human_8
40: frog_pose_human_asymetric
41: frog_pose_human_elaborate_figure
42: frog_pose_human_figure
43: frog_pose_human_figure_symbol
44: frog_pose_human_long
45: frog_simplified_1
46: frog_simplified_2
47: frog_simplified_3
48: frog_simplified_4
49: geometric_arrow
50: geometric_asymetrical
51: geometric_block
52: geometric_continuous_symbol
53: geometric_continuous_tile_1
54: geometric_continuous_tile_2
55: geometric_continuous_tile_3
56: geometric_continuous_tile_4
57: geometric_continuous_tile_5
58: geometric_continuous_tile_6
59: geometric_continuous_tile_7
60: geometric_continuous_tile_8
61: geometric_diamond
62: geometric_double_block
63: geometric_symbol
64: geometric_triple
65: horse_goat_bear_bear
66: horse_goat_bear_goat
67: horse_goat_bear_horse
68: human_feet
69: human_long
70: human_simplified_diamond
71: human_simplified_double
72: human_simplified_elaborate_figure
73: human_simplified_figure
74: human_simplified_flat
75: human_wide
76: plants_simple
77: plants_various
78: tortoise_continuous_tile
79: tortoise_diamond
80: tortoise_figure
81: tortoise_square
82: unknown_asymetic
83: unknown_block
84: unknown_card
85: unknown_diamond
86: unknown_double
87: unknown_figure
88: unknown_symbol
89: unknown_tall
90: unknown_wide
